"","GEOID","ICEwbinc","cntyPov"
"1","28151",-0.302694136291601,0.333046767537827
"2","28111",-0.00328731097961867,0.187242971044901
"3","28019",-0.0647914032869785,0.232856438085841
"4","28057",0.0980932690098782,0.153584229390681
"5","28015",0.0169491525423729,0.148248519522232
"6","28043",-0.108219844357977,0.244947064485082
"7","28063",-0.521739130434783,0.497235961594414
"8","28041",0.0934803451581975,0.145120031483668
"9","28093",-0.0625669267247973,0.182970744918306
"10","28119",-0.346972176759411,0.354618809126322
"11","28011",-0.261041204046385,0.345702495325295
"12","28073",0.146175662900104,0.165445595087176
"13","28081",0.0387702606378033,0.158599357481519
"14","28113",-0.219405832651949,0.338420014533375
"15","28135",-0.203150717140842,0.305849125364431
"16","28129",0.0722070844686648,0.169303201506591
"17","28131",0.06079869600652,0.17069998869162
"18","28149",-0.0814771395076202,0.206162970603404
"19","28023",-0.0667945030361138,0.192683236114634
"20","28069",-0.276010781671159,0.299576685118854
"21","28097",-0.160424334271487,0.27326968973747
"22","28105",0.00209193192740431,0.300492388309166
"23","28109",0.112374710871241,0.1612981577669
"24","28079",-0.0997796278158668,0.259250882113453
"25","28103",-0.275870646766169,0.294635254044848
"26","28099",0.00607533414337789,0.236562120949575
"27","28121",0.199586293731451,0.0820912430057327
"28","28137",0.0535853468433359,0.196608373078961
"29","28077",-0.0102232422282495,0.193875932095827
"30","28107",-0.0952840041777135,0.209035559869408
"31","28161",-0.0947490796357295,0.16195856873823
"32","28017",-0.12729536258948,0.211510025433253
"33","28029",-0.114101631507846,0.239683396294298
"34","28039",0.10785112741103,0.146428725376094
"35","28049",-0.149596978749789,0.222195513508409
"36","28101",-0.0325789604575976,0.261299299491412
"37","28145",0.0416038589086524,0.155699953586347
"38","28125",-0.308262108262108,0.259242458607394
"39","28139",0.0368282600526118,0.197379993519419
"40","28035",-0.0248278814254628,0.250452885928486
"41","28045",0.124135457759107,0.179177798845126
"42","28071",0.0907490811202568,0.237553754548462
"43","28055",-0.245867768595041,0.41690408357075
"44","28087",-0.0645501714888752,0.221279916753382
"45","28083",-0.354068857589984,0.391738442608543
"46","28157",-0.363354037267081,0.327509811368528
"47","28047",0.0211252425091615,0.201482158266078
