"cnty_fips","display_name","Value","theme_range"
02240,"""Southeast Fairbanks, (AK)""",92.5,"91.8 - 123.2 (642)"
02261,"""Valdez-Cordova, (AK)""",88.8,"32.1 - 91.7 (644)"
02270,"""Kusilvak, (AK)""",162.4,"144.5 - 164.4 (639)"
02280,"""Wrangell-Petersburg, (AK)""",67.9,"32.1 - 91.7 (644)"
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",83.4,"32.1 - 91.7 (644)"
04001,"""Apache, (AZ)""",120,"91.8 - 123.2 (642)"
04003,"""Cochise, (AZ)""",110.4,"91.8 - 123.2 (642)"
04005,"""Coconino, (AZ)""",93.8,"91.8 - 123.2 (642)"
04007,"""Gila, (AZ)""",116,"91.8 - 123.2 (642)"
04009,"""Graham, (AZ)""",97.8,"91.8 - 123.2 (642)"
04011,"""Greenlee, (AZ)""",101.8,"91.8 - 123.2 (642)"
04012,"""La Paz, (AZ)""",97.7,"91.8 - 123.2 (642)"
04013,"""Maricopa, (AZ)""",123.2,"91.8 - 123.2 (642)"
04015,"""Mohave, (AZ)""",142.4,"123.3 - 144.4 (644)"
04017,"""Navajo, (AZ)""",106.5,"91.8 - 123.2 (642)"
04019,"""Pima, (AZ)""",107.9,"91.8 - 123.2 (642)"
04021,"""Pinal, (AZ)""",134.6,"123.3 - 144.4 (644)"
04023,"""Santa Cruz, (AZ)""",82.9,"32.1 - 91.7 (644)"
04025,"""Yavapai, (AZ)""",92.4,"91.8 - 123.2 (642)"
04027,"""Yuma, (AZ)""",130.6,"123.3 - 144.4 (644)"
05001,"""Arkansas, (AR)""",138.8,"123.3 - 144.4 (644)"
05003,"""Ashley, (AR)""",119.6,"91.8 - 123.2 (642)"
05005,"""Baxter, (AR)""",139.5,"123.3 - 144.4 (644)"
05007,"""Benton, (AR)""",130.7,"123.3 - 144.4 (644)"
05009,"""Boone, (AR)""",129.9,"123.3 - 144.4 (644)"
05011,"""Bradley, (AR)""",120.1,"91.8 - 123.2 (642)"
05013,"""Calhoun, (AR)""",125.8,"123.3 - 144.4 (644)"
05015,"""Carroll, (AR)""",77.4,"32.1 - 91.7 (644)"
05017,"""Chicot, (AR)""",129.7,"123.3 - 144.4 (644)"
05019,"""Clark, (AR)""",99.1,"91.8 - 123.2 (642)"
05021,"""Clay, (AR)""",154.2,"144.5 - 164.4 (639)"
05023,"""Cleburne, (AR)""",92.7,"91.8 - 123.2 (642)"
05025,"""Cleveland, (AR)""",147.5,"144.5 - 164.4 (639)"
05027,"""Columbia, (AR)""",159.3,"144.5 - 164.4 (639)"
05029,"""Conway, (AR)""",109.2,"91.8 - 123.2 (642)"
05031,"""Craighead, (AR)""",187,"164.5 - 283.2 (641)"
05033,"""Crawford, (AR)""",173,"164.5 - 283.2 (641)"
05035,"""Crittenden, (AR)""",180.8,"164.5 - 283.2 (641)"
05037,"""Cross, (AR)""",131.7,"123.3 - 144.4 (644)"
05039,"""Dallas, (AR)""",113.3,"91.8 - 123.2 (642)"
05041,"""Desha, (AR)""",124.9,"123.3 - 144.4 (644)"
05043,"""Drew, (AR)""",188.1,"164.5 - 283.2 (641)"
05045,"""Faulkner, (AR)""",139.9,"123.3 - 144.4 (644)"
05047,"""Franklin, (AR)""",147.4,"144.5 - 164.4 (639)"
05049,"""Fulton, (AR)""",114.2,"91.8 - 123.2 (642)"
05051,"""Garland, (AR)""",154.1,"144.5 - 164.4 (639)"
05053,"""Grant, (AR)""",158.2,"144.5 - 164.4 (639)"
05055,"""Greene, (AR)""",201.5,"164.5 - 283.2 (641)"
05057,"""Hempstead, (AR)""",161.5,"144.5 - 164.4 (639)"
05059,"""Hot Spring, (AR)""",160.6,"144.5 - 164.4 (639)"
05061,"""Howard, (AR)""",115.1,"91.8 - 123.2 (642)"
05063,"""Independence, (AR)""",178.6,"164.5 - 283.2 (641)"
05065,"""Izard, (AR)""",120.2,"91.8 - 123.2 (642)"
05067,"""Jackson, (AR)""",211.6,"164.5 - 283.2 (641)"
05069,"""Jefferson, (AR)""",154.2,"144.5 - 164.4 (639)"
05071,"""Johnson, (AR)""",145.6,"144.5 - 164.4 (639)"
05073,"""Lafayette, (AR)""",163.3,"144.5 - 164.4 (639)"
05075,"""Lawrence, (AR)""",143.9,"123.3 - 144.4 (644)"
05077,"""Lee, (AR)""",170.7,"164.5 - 283.2 (641)"
05079,"""Lincoln, (AR)""",135,"123.3 - 144.4 (644)"
05081,"""Little River, (AR)""",147.5,"144.5 - 164.4 (639)"
05083,"""Logan, (AR)""",130.9,"123.3 - 144.4 (644)"
05085,"""Lonoke, (AR)""",153.3,"144.5 - 164.4 (639)"
05087,"""Madison, (AR)""",124.2,"123.3 - 144.4 (644)"
05089,"""Marion, (AR)""",147.1,"144.5 - 164.4 (639)"
05091,"""Miller, (AR)""",161.3,"144.5 - 164.4 (639)"
05093,"""Mississippi, (AR)""",185,"164.5 - 283.2 (641)"
05095,"""Monroe, (AR)""",184.7,"164.5 - 283.2 (641)"
05097,"""Montgomery, (AR)""",134.6,"123.3 - 144.4 (644)"
05099,"""Nevada, (AR)""",152.3,"144.5 - 164.4 (639)"
05101,"""Newton, (AR)""",120.7,"91.8 - 123.2 (642)"
05103,"""Ouachita, (AR)""",117.6,"91.8 - 123.2 (642)"
05105,"""Perry, (AR)""",129.1,"123.3 - 144.4 (644)"
05107,"""Phillips, (AR)""",166.8,"164.5 - 283.2 (641)"
05109,"""Pike, (AR)""",151.4,"144.5 - 164.4 (639)"
05111,"""Poinsett, (AR)""",214.6,"164.5 - 283.2 (641)"
05113,"""Polk, (AR)""",148.9,"144.5 - 164.4 (639)"
05115,"""Pope, (AR)""",150,"144.5 - 164.4 (639)"
05117,"""Prairie, (AR)""",153.1,"144.5 - 164.4 (639)"
05119,"""Pulaski, (AR)""",144.4,"123.3 - 144.4 (644)"
05121,"""Randolph, (AR)""",132.9,"123.3 - 144.4 (644)"
05123,"""St. Francis, (AR)""",168.6,"164.5 - 283.2 (641)"
05125,"""Saline, (AR)""",154.1,"144.5 - 164.4 (639)"
