fips,p_nonwhite,p_white
01001,24.7333681048902,75.26663189510981
01003,15.82088046160479,84.17911953839521
01005,54.02114062939592,45.97885937060408
01007,24.825892857142858,75.17410714285714
01009,12.237206085753803,87.7627939142462
01011,78.39810613533241,21.601893864667588
01013,48.25711382113821,51.74288617886179
01015,26.923177892314285,73.07682210768571
01017,44.26000297486241,55.73999702513759
01019,7.248770743700062,92.75122925629994
01021,19.1515865286617,80.8484134713383
01023,43.267658282065256,56.732341717934744
01025,47.07357859531773,52.92642140468228
01027,18.350282485875706,81.6497175141243
01029,6.432241275772337,93.56775872422767
01031,28.64435839642451,71.35564160357549
01033,20.503268689967495,79.49673131003252
01035,49.08365235806793,50.91634764193207
01037,33.91507232851143,66.08492767148857
01039,15.77894338398313,84.22105661601688
01041,28.030960648148145,71.96903935185185
01043,7.244553102754009,92.755446897246
01045,30.321104665413838,69.67889533458616
01047,72.5084834246933,27.491516575306708
01049,18.47867198991385,81.52132801008615
01051,26.059081417074747,73.94091858292525
01053,38.90551866768259,61.09448133231741
01055,21.251499985365996,78.748500014634
01057,15.055072110996164,84.94492788900384
01059,22.941045180626855,77.05895481937316
01061,15.20103367028958,84.79896632971042
01063,82.14502611441759,17.85497388558241
01065,59.94839060165693,40.05160939834307
01067,29.961066883607412,70.03893311639258
01069,32.685586600714274,67.31441339928573
01071,9.188959331993196,90.8110406680068
01073,49.75792507204611,50.242074927953894
01075,13.05258595781566,86.94741404218433
01077,14.407871237295291,85.59212876270472
01079,20.526746973328883,79.47325302667112
01081,31.662610329325798,68.33738967067421
01083,22.593424418241938,77.40657558175806
01085,74.56386605173451,25.43613394826549
01087,83.36677694018114,16.633223059818864
01089,34.10464396115891,65.8953560388411
01091,54.709954893527744,45.290045106472256
01093,7.421966871619125,92.57803312838088
01095,18.613241215703002,81.386758784297
01097,42.553479457749354,57.446520542250646
01099,45.18915839939241,54.81084160060759
01101,66.29474271691996,33.705257283080044
01103,23.37831369815852,76.62168630184148
01105,70.1422319474836,29.85776805251641
01107,45.73176848229512,54.26823151770489
01109,43.38592597036415,56.61407402963585
01111,23.797579757975797,76.2024202420242
01113,53.05204132846437,46.94795867153563
01115,13.514488668395536,86.48551133160447
01117,21.65947326697789,78.3405267330221
01119,75.1556220943976,24.844377905602396
01121,36.67635416144711,63.32364583855289
01123,30.63683729658987,69.36316270341013
01125,38.15739716912944,61.84260283087056
01127,10.141105931471802,89.8588940685282
01129,34.23494932226157,65.76505067773843
01131,73.04977886515479,26.950221134845204
01133,5.376162299239223,94.62383770076079
02013,90.3556187766714,9.644381223328592
02016,75.11794513367114,24.882054866328847
02020,39.23193545952843,60.76806454047157
02050,89.31159420289855,10.68840579710145
02060,51.653363740022805,48.346636259977195
02068,17.289946576007768,82.71005342399222
02070,81.86,18.14
02090,27.537359428519466,72.46264057148053
02100,18.350848827809216,81.64915117219078
02105,50.4881450488145,49.5118549511855
02110,31.252140877526237,68.74785912247377
02122,16.91011907812687,83.08988092187313
02130,32.58370455525219,67.4162954447478
02150,47.57587111277632,52.424128887223674
02158,95.85691918583645,4.143080814163555
02164,74.85822306238185,25.14177693761815
02170,17.374779295604498,82.6252207043955
02180,83.17346123101518,16.82653876898481
02185,67.30145867098865,32.69854132901134
02188,87.23764828575153,12.762351714248469
02195,25.42688606022974,74.57311393977025
02198,51.167860479601366,48.832139520398634
02220,34.7403723834856,65.2596276165144
02230,17.073170731707318,82.92682926829268
02240,24.76149176062446,75.23850823937555
02261,27.640768223483196,72.35923177651681
02275,27.526967638833398,72.4730323611666
02282,62.913907284768214,37.086092715231786
02290,76.45954571053124,23.540454289468745
04001,81.46007964577126,18.539920354228745
04003,43.84791354421393,56.15208645578606
04005,44.8590868999118,55.140913100088206
04007,37.417654808959156,62.582345191040844
04009,48.40039924353856,51.59960075646144
04011,53.263735104924606,46.736264895075394
04012,42.33576642335766,57.66423357664233
04013,43.98225819030639,56.01774180969361
04015,22.04438081603436,77.95561918396564
04017,57.72375390465842,42.27624609534158
04019,47.59396115576095,52.40603884423904
04021,42.53608505651499,57.46391494348501
04023,84.91754638687623,15.082453613123779
04025,18.60228541378404,81.39771458621597
04027,68.98900663750189,31.010993362498112
05001,29.607743823512862,70.39225617648714
05003,30.98872593036017,69.01127406963982
05005,4.437876931209304,95.5621230687907
05007,25.44606174433619,74.55393825566381
05009,4.951974386339382,95.04802561366061
05011,43.99375975039001,56.00624024960999
05013,26.776577600909608,73.22342239909038
05015,19.455763030152713,80.54423696984728
05017,60.59589959762407,39.40410040237594
05019,30.76923076923077,69.23076923076923
05021,3.9671314070182526,96.03286859298174
05023,4.205888243540958,95.79411175645905
05025,14.953853828885007,85.04614617111498
05027,40.25576751497642,59.74423248502359
05029,17.213153989756353,82.78684601024364
05031,23.447373754122218,76.55262624587778
05033,14.24786297826704,85.75213702173295
05035,57.99718671134831,42.002813288651694
05037,26.4571839769729,73.5428160230271
05039,46.1849067112225,53.815093288777504
05041,54.916608756080606,45.083391243919394
05043,33.27695329550415,66.72304670449586
05045,18.784353316346973,81.21564668365303
05047,7.372262773722628,92.62773722627738
05049,3.692232455782867,96.30776754421714
05051,16.780966980656352,83.21903301934364
05053,6.812183857488454,93.18781614251155
05055,6.429123000551572,93.57087699944843
05057,44.69895588979348,55.30104411020652
05059,16.311088691730216,83.68891130826978
05061,35.34217824750768,64.65782175249231
05063,10.573809650193747,89.42619034980626
05065,6.40035312293092,93.59964687706908
05067,22.372256260781633,77.62774373921837
05069,60.861203276859385,39.138796723140615
05071,19.684391593747662,80.31560840625234
05073,40.06285543250524,59.93714456749476
05075,4.216867469879518,95.78313253012048
05077,58.141346688925985,41.858653311074015
05079,35.24620787566315,64.75379212433684
05081,26.083076423819566,73.91692357618042
05083,8.478630905828771,91.52136909417122
05085,13.15693009489933,86.84306990510066
05087,9.53218858079,90.46781141921
05089,4.682454251883747,95.31754574811625
05091,30.379427417874837,69.62057258212516
05093,41.121268701956886,58.87873129804312
05095,44.72463768115942,55.27536231884058
05097,8.292245629762439,91.70775437023757
05099,36.488109536392024,63.511890463607976
05101,4.625240230621397,95.3747597693786
05103,44.24722528170804,55.75277471829197
05105,6.935857805255023,93.06414219474497
05107,64.89544622552555,35.104553774474454
05109,11.477560198632062,88.52243980136794
