"GEO_ID","NAME","B19083_001E","B19083_001M"
"id","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index"
"0500000US29001","Adair County, Missouri","0.5131","0.0349"
"0500000US29199","Scotland County, Missouri","0.4938","0.0490"
"0500000US29211","Sullivan County, Missouri","0.4110","0.0412"
"0500000US29045","Clark County, Missouri","0.4590","0.0439"
"0500000US29099","Jefferson County, Missouri","0.3890","0.0088"
"0500000US29111","Lewis County, Missouri","0.4233","0.0249"
"0500000US29143","New Madrid County, Missouri","0.4543","0.0205"
"0500000US29157","Perry County, Missouri","0.3754","0.0152"
"0500000US29173","Ralls County, Missouri","0.3961","0.0417"
"0500000US29177","Ray County, Missouri","0.4056","0.0166"
"0500000US29189","St. Louis County, Missouri","0.4904","0.0043"
"0500000US29209","Stone County, Missouri","0.4607","0.0304"
"0500000US29009","Barry County, Missouri","0.4506","0.0293"
"0500000US29019","Boone County, Missouri","0.4673","0.0105"
"0500000US29039","Cedar County, Missouri","0.4534","0.0426"
"0500000US29055","Crawford County, Missouri","0.4420","0.0222"
"0500000US29093","Iron County, Missouri","0.4317","0.0242"
"0500000US29117","Livingston County, Missouri","0.4268","0.0211"
"0500000US29135","Moniteau County, Missouri","0.4033","0.0231"
"0500000US29149","Oregon County, Missouri","0.4448","0.0263"
"0500000US29069","Dunklin County, Missouri","0.4807","0.0214"
"0500000US29159","Pettis County, Missouri","0.4351","0.0175"
"0500000US29186","Ste. Genevieve County, Missouri","0.3986","0.0229"
"0500000US29175","Randolph County, Missouri","0.4243","0.0182"
"0500000US29071","Franklin County, Missouri","0.4284","0.0140"
"0500000US29089","Howard County, Missouri","0.4010","0.0175"
"0500000US29095","Jackson County, Missouri","0.4657","0.0053"
"0500000US29131","Miller County, Missouri","0.4493","0.0238"
"0500000US29169","Pulaski County, Missouri","0.3836","0.0216"
"0500000US29171","Putnam County, Missouri","0.4490","0.0444"
"0500000US29213","Taney County, Missouri","0.4165","0.0156"
"0500000US29215","Texas County, Missouri","0.4640","0.0316"
"0500000US29021","Buchanan County, Missouri","0.4405","0.0133"
"0500000US29025","Caldwell County, Missouri","0.4107","0.0270"
"0500000US29027","Callaway County, Missouri","0.3938","0.0147"
"0500000US29037","Cass County, Missouri","0.3982","0.0101"
"0500000US29049","Clinton County, Missouri","0.3921","0.0183"
"0500000US29053","Cooper County, Missouri","0.4074","0.0137"
"0500000US29059","Dallas County, Missouri","0.4668","0.0542"
"0500000US29075","Gentry County, Missouri","0.4144","0.0229"
"0500000US29085","Hickory County, Missouri","0.4117","0.0189"
"0500000US29113","Lincoln County, Missouri","0.4031","0.0144"
"0500000US29133","Mississippi County, Missouri","0.4931","0.0347"
"0500000US29137","Monroe County, Missouri","0.4133","0.0380"
"0500000US29145","Newton County, Missouri","0.4631","0.0259"
"0500000US29153","Ozark County, Missouri","0.4518","0.0321"
"0500000US29163","Pike County, Missouri","0.4245","0.0320"
"0500000US29183","St. Charles County, Missouri","0.3975","0.0070"
"0500000US30017","Custer County, Montana","0.4275","0.0246"
"0500000US30041","Hill County, Montana","0.4324","0.0190"
"0500000US30075","Powder River County, Montana","0.3945","0.0281"
"0500000US30067","Park County, Montana","0.4446","0.0229"
"0500000US30085","Roosevelt County, Montana","0.4791","0.0182"
"0500000US30005","Blaine County, Montana","0.4288","0.0217"
"0500000US30051","Liberty County, Montana","0.5684","0.1051"
"0500000US30083","Richland County, Montana","0.3919","0.0223"
"0500000US30099","Teton County, Montana","0.4289","0.0286"
"0500000US30101","Toole County, Montana","0.4844","0.0741"
"0500000US30025","Fallon County, Montana","0.4237","0.0346"
"0500000US30019","Daniels County, Montana","0.4329","0.0583"
"0500000US30045","Judith Basin County, Montana","0.4585","0.0347"
"0500000US30093","Silver Bow County, Montana","0.4806","0.0186"
"0500000US30023","Deer Lodge County, Montana","0.4577","0.0323"
"0500000US30043","Jefferson County, Montana","0.4061","0.0183"
"0500000US30055","McCone County, Montana","0.4000","0.0447"
"0500000US30107","Wheatland County, Montana","0.4120","0.0432"
"0500000US30087","Rosebud County, Montana","0.4289","0.0230"
"0500000US30011","Carter County, Montana","0.5126","0.0422"
"0500000US30021","Dawson County, Montana","0.4189","0.0368"
"0500000US30007","Broadwater County, Montana","0.4320","0.0627"
"0500000US30047","Lake County, Montana","0.4680","0.0197"
"0500000US30073","Pondera County, Montana","0.4544","0.0331"
"0500000US30111","Yellowstone County, Montana","0.4586","0.0121"
"0500000US30081","Ravalli County, Montana","0.4613","0.0249"
"0500000US30105","Valley County, Montana","0.4090","0.0235"
"0500000US30027","Fergus County, Montana","0.4311","0.0354"
"0500000US30061","Mineral County, Montana","0.4565","0.0627"
"0500000US30069","Petroleum County, Montana","0.4212","0.0591"
"0500000US30089","Sanders County, Montana","0.4663","0.0330"
